week,defense,ofensive ability,shooting,offense,rebs,total
115       PG D:12,70     Oa:12,46     Sh:7,26      O:10,90     R:6,82      T:11,54     
116       PG D:12,78     Oa:12,51     Sh:7,27      O:10,94     R:6,83      T:11,59     
117       PG D:12,86     Oa:12,56     Sh:7,28      O:10,97     R:6,83      T:11,65     
118       PG D:12,87     Oa:12,56     Sh:7,47      O:11,04     R:6,84      T:11,68     
119       PG D:12,88     Oa:12,57     Sh:7,59      O:11,08     R:6,85      T:11,71     
120       PG D:12,99     Oa:12,58     Sh:7,60      O:11,08     R:6,87      T:11,76     
121       PG D:13,11     Oa:12,59     Sh:7,60      O:11,09     R:6,88      T:11,81     
122       PG D:13,22     Oa:12,59     Sh:7,61      O:11,10     R:6,90      T:11,86     
123       PG D:13,34     Oa:12,60     Sh:7,62      O:11,11     R:6,92      T:11,91     
124       PG D:13,34     Oa:12,68     Sh:7,62      O:11,16     R:6,93      T:11,95     
125       PG D:13,35     Oa:12,76     Sh:7,63      O:11,22     R:6,93      T:11,99     
126       PG D:13,36     Oa:12,85     Sh:7,64      O:11,28     R:6,94      T:12,03     
127       PG D:13,37     Oa:12,93     Sh:7,65      O:11,34     R:6,95      T:12,06     
128       PG D:13,37     Oa:13,01     Sh:7,65      O:11,40     R:6,96      T:12,10     
129       PG D:13,38     Oa:13,08     Sh:7,66      O:11,46     R:6,96      T:12,14     
130       PG D:13,39     Oa:13,16     Sh:7,67      O:11,51     R:6,97      T:12,17     
131       PG D:13,46     Oa:13,21     Sh:7,67      O:11,55     R:6,98      T:12,22     
132       PG D:13,53     Oa:13,25     Sh:7,68      O:11,58     R:6,98      T:12,27     
133       PG D:13,60     Oa:13,29     Sh:7,69      O:11,61     R:6,99      T:12,31     
134       PG D:13,67     Oa:13,34     Sh:7,69      O:11,64     R:7,00      T:12,36     
135       PG D:13,67     Oa:13,34     Sh:7,86      O:11,70     R:7,00      T:12,40     
136       PG D:13,68     Oa:13,35     Sh:7,97      O:11,74     R:7,01      T:12,42     
137       PG D:13,79     Oa:13,36     Sh:7,98      O:11,74     R:7,03      T:12,47     
138       PG D:13,90     Oa:13,36     Sh:7,99      O:11,75     R:7,05      T:12,52     
139       PG D:14,01     Oa:13,37     Sh:7,99      O:11,76     R:7,06      T:12,57     
140       PG D:14,12     Oa:13,38     Sh:8,00      O:11,76     R:7,08      T:12,61     
141       PG D:14,13     Oa:13,46     Sh:8,01      O:11,82     R:7,09      T:12,65     
142       PG D:14,14     Oa:13,53     Sh:8,01      O:11,88     R:7,09      T:12,69     
143       PG D:14,15     Oa:13,61     Sh:8,02      O:11,93     R:7,10      T:12,72     
144       PG D:14,15     Oa:13,69     Sh:8,03      O:11,99     R:7,11      T:12,76     
145       PG D:14,16     Oa:13,77     Sh:8,03      O:12,05     R:7,11      T:12,79     
146       PG D:14,17     Oa:13,84     Sh:8,04      O:12,10     R:7,12      T:12,83     
147       PG D:14,17     Oa:13,92     Sh:8,05      O:12,16     R:7,13      T:12,86     
148       PG D:14,24     Oa:13,96     Sh:8,05      O:12,19     R:7,13      T:12,91     
149       PG D:14,31     Oa:14,00     Sh:8,06      O:12,22     R:7,14      T:12,95     
150       PG D:14,37     Oa:14,04     Sh:8,07      O:12,25     R:7,15      T:13,00     
151       PG D:14,44     Oa:14,08     Sh:8,07      O:12,28     R:7,15      T:13,04     
152       PG D:14,45     Oa:14,09     Sh:8,24      O:12,33     R:7,16      T:13,08     
153       PG D:14,45     Oa:14,10     Sh:8,34      O:12,37     R:7,17      T:13,10     
154       PG D:14,55     Oa:14,10     Sh:8,35      O:12,38     R:7,18      T:13,14     
155       PG D:14,65     Oa:14,11     Sh:8,35      O:12,38     R:7,20      T:13,18     
156       PG D:14,74     Oa:14,11     Sh:8,36      O:12,39     R:7,21      T:13,23     
157       PG D:14,84     Oa:14,12     Sh:8,37      O:12,39     R:7,23      T:13,27     
158       PG D:14,84     Oa:14,19     Sh:8,37      O:12,44     R:7,23      T:13,30     
159       PG D:14,85     Oa:14,26     Sh:8,38      O:12,49     R:7,24      T:13,33     
160       PG D:14,86     Oa:14,33     Sh:8,39      O:12,54     R:7,25      T:13,36     
161       PG D:14,86     Oa:14,39     Sh:8,39      O:12,59     R:7,25      T:13,39     
162       PG D:14,87     Oa:14,46     Sh:8,40      O:12,64     R:7,26      T:13,42     
163       PG D:14,87     Oa:14,52     Sh:8,40      O:12,69     R:7,27      T:13,45     
164       PG D:14,88     Oa:14,59     Sh:8,31      O:12,71     R:7,27      T:13,47     
165       PG D:14,94     Oa:14,63     Sh:8,32      O:12,73     R:7,28      T:13,51     
166       PG D:15,00     Oa:14,66     Sh:8,33      O:12,76     R:7,28      T:13,55     
167       PG D:15,06     Oa:14,70     Sh:8,33      O:12,79     R:7,29      T:13,59     
168       PG D:15,11     Oa:14,73     Sh:8,34      O:12,82     R:7,30      T:13,62     
169       PG D:15,12     Oa:14,74     Sh:8,46      O:12,86     R:7,30      T:13,65     
170       PG D:15,13     Oa:14,75     Sh:8,57      O:12,89     R:7,31      T:13,68     
171       PG D:15,21     Oa:14,75     Sh:8,58      O:12,90     R:7,32      T:13,71     
172       PG D:15,30     Oa:14,76     Sh:8,59      O:12,91     R:7,34      T:13,75     
173       PG D:15,38     Oa:14,77     Sh:8,59      O:12,91     R:7,35      T:13,79     
174       PG D:15,47     Oa:14,77     Sh:8,60      O:12,92     R:7,37      T:13,83     
175       PG D:15,48     Oa:14,83     Sh:8,60      O:12,96     R:7,37      T:13,86     
176       PG D:15,48     Oa:14,89     Sh:8,61      O:13,01     R:7,38      T:13,89     
177       PG D:15,49     Oa:14,96     Sh:8,62      O:13,05     R:7,38      T:13,91     
178       PG D:15,49     Oa:15,02     Sh:8,62      O:13,10     R:7,39      T:13,94     
179       PG D:15,50     Oa:15,07     Sh:8,63      O:13,14     R:7,40      T:13,97     
180       PG D:15,51     Oa:15,13     Sh:8,64      O:13,18     R:7,40      T:14,00     
181       PG D:15,51     Oa:15,19     Sh:8,64      O:13,23     R:7,41      T:14,02     
182       PG D:15,56     Oa:15,22     Sh:8,65      O:13,25     R:7,42      T:14,06     
183       PG D:15,62     Oa:15,26     Sh:8,65      O:13,28     R:7,42      T:14,10     
184       PG D:15,67     Oa:15,29     Sh:8,66      O:13,30     R:7,43      T:14,13     
185       PG D:15,72     Oa:15,32     Sh:8,67      O:13,32     R:7,43      T:14,17     
186       PG D:15,73     Oa:15,33     Sh:8,78      O:13,36     R:7,44      T:14,19     
187       PG D:15,73     Oa:15,33     Sh:8,88      O:13,40     R:7,45      T:14,21     
188       PG D:15,81     Oa:15,34     Sh:8,88      O:13,40     R:7,46      T:14,25     
189       PG D:15,89     Oa:15,35     Sh:8,89      O:13,41     R:7,47      T:14,28     
190       PG D:15,98     Oa:15,35     Sh:8,89      O:13,41     R:7,49      T:14,32     
191       PG D:16,06     Oa:15,36     Sh:8,90      O:13,42     R:7,50      T:14,36     
192       PG D:16,06     Oa:15,42     Sh:8,91      O:13,46     R:7,51      T:14,38     
193       PG D:16,07     Oa:15,47     Sh:8,91      O:13,51     R:7,51      T:14,41     
194       PG D:16,07     Oa:15,53     Sh:8,92      O:13,55     R:7,52      T:14,44     
195       PG D:16,08     Oa:15,59     Sh:8,92      O:13,59     R:7,52      T:14,46     
196       PG D:16,09     Oa:15,64     Sh:8,93      O:13,63     R:7,53      T:14,49     
197       PG D:16,09     Oa:15,70     Sh:8,93      O:13,67     R:7,53      T:14,52     
198       PG D:16,10     Oa:15,76     Sh:8,94      O:13,71     R:7,54      T:14,54     
199       PG D:16,15     Oa:15,79     Sh:8,95      O:13,73     R:7,55      T:14,58     
